YEAR  MO  DA  HR      LAT       LON   CO2 20000
2012   8  16   0  40.5368  -95.8675  0.2389E-07
2012   8  16   0  40.5868  -95.8675  0.1851E-07
2012   8  16   0  40.6368  -95.8675  0.1455E-07
2012   8  16   0  40.6868  -95.8675  0.1080E-07
2012   8  16   0  40.7368  -95.8675  0.7601E-08
2012   8  16   0  40.7868  -95.8675  0.6267E-08
2012   8  16   0  40.8368  -95.8675  0.4191E-08
2012   8  16   0  40.8868  -95.8675  0.3979E-08
2012   8  16   0  40.9368  -95.8675  0.3803E-08
2012   8  16   0  40.9868  -95.8675  0.3094E-08
2012   8  16   0  41.0368  -95.8675  0.2559E-08
2012   8  16   0  41.0868  -95.8675  0.2334E-08
2012   8  16   0  41.1368  -95.8675  0.1884E-08
2012   8  16   0  41.1868  -95.8675  0.1812E-08
2012   8  16   0  41.2368  -95.8675  0.1161E-08
2012   8  16   0  41.2868  -95.8675  0.1166E-08
2012   8  16   0  41.3368  -95.8675  0.1088E-08
2012   8  16   0  41.3868  -95.8675  0.7664E-09
2012   8  16   0  41.4368  -95.8675  0.5818E-09
2012   8  16   0  41.4868  -95.8675  0.6254E-09
2012   8  16   0  41.5368  -95.8675  0.4204E-09
2012   8  16   0  41.5868  -95.8675  0.1948E-09
2012   8  16   0  41.6368  -95.8675  0.5033E-10
2012   8  16   0  41.6868  -95.8675  0.1368E-09
2012   8  16   0  39.5868  -95.8175  0.2025E-08
2012   8  16   0  39.6368  -95.8175  0.8566E-08
2012   8  16   0  39.6868  -95.8175  0.1558E-07
2012   8  16   0  39.7368  -95.8175  0.2410E-07
2012   8  16   0  39.7868  -95.8175  0.2844E-07
2012   8  16   0  39.8368  -95.8175  0.2925E-07
2012   8  16   0  39.8868  -95.8175  0.2680E-07
2012   8  16   0  39.9368  -95.8175  0.3071E-07
2012   8  16   0  39.9868  -95.8175  0.3326E-07
2012   8  16   0  40.0368  -95.8175  0.3999E-07
2012   8  16   0  40.0868  -95.8175  0.4899E-07
2012   8  16   0  40.1368  -95.8175  0.7459E-07
2012   8  16   0  40.1868  -95.8175  0.9182E-07
2012   8  16   0  40.2368  -95.8175  0.9230E-07
2012   8  16   0  40.2868  -95.8175  0.8364E-07
2012   8  16   0  40.3368  -95.8175  0.7579E-07
2012   8  16   0  40.3868  -95.8175  0.6977E-07
2012   8  16   0  40.4368  -95.8175  0.6354E-07
2012   8  16   0  40.4868  -95.8175  0.5504E-07
2012   8  16   0  40.5368  -95.8175  0.4783E-07
2012   8  16   0  40.5868  -95.8175  0.3338E-07
2012   8  16   0  40.6368  -95.8175  0.2488E-07
2012   8  16   0  40.6868  -95.8175  0.1907E-07
2012   8  16   0  40.7368  -95.8175  0.1631E-07
2012   8  16   0  40.7868  -95.8175  0.1318E-07
2012   8  16   0  40.8368  -95.8175  0.9575E-08
2012   8  16   0  40.8868  -95.8175  0.6358E-08
2012   8  16   0  40.9368  -95.8175  0.4427E-08
2012   8  16   0  40.9868  -95.8175  0.3989E-08
2012   8  16   0  41.0368  -95.8175  0.3369E-08
2012   8  16   0  41.0868  -95.8175  0.2865E-08
2012   8  16   0  41.1368  -95.8175  0.2077E-08
2012   8  16   0  41.1868  -95.8175  0.1295E-08
2012   8  16   0  41.2368  -95.8175  0.1928E-08
2012   8  16   0  41.2868  -95.8175  0.1385E-08
2012   8  16   0  41.3368  -95.8175  0.1179E-08
2012   8  16   0  41.3868  -95.8175  0.1342E-08
2012   8  16   0  41.4368  -95.8175  0.1462E-08
2012   8  16   0  41.4868  -95.8175  0.1445E-08
2012   8  16   0  41.5368  -95.8175  0.1509E-08
2012   8  16   0  41.5868  -95.8175  0.1030E-08
2012   8  16   0  41.6368  -95.8175  0.4799E-09
2012   8  16   0  41.6868  -95.8175  0.1839E-09
2012   8  16   0  41.7368  -95.8175  0.3675E-09
2012   8  16   0  41.7868  -95.8175  0.2283E-09
2012   8  16   0  41.8368  -95.8175  0.1836E-09
2012   8  16   0  41.8868  -95.8175  0.2278E-09
2012   8  16   0  41.9368  -95.8175  0.1397E-09
2012   8  16   0  41.9868  -95.8175  0.9571E-10
2012   8  16   0  42.4368  -95.8175  0.3528E-10
2012   8  16   0  42.4868  -95.8175  0.1412E-09
2012   8  16   0  42.5368  -95.8175  0.1057E-09
2012   8  16   0  42.5868  -95.8175  0.1402E-09
2012   8  16   0  42.6368  -95.8175  0.1052E-09
2012   8  16   0  42.6868  -95.8175  0.1053E-09
2012   8  16   0  42.7368  -95.8175  0.1405E-09
2012   8  16   0  42.7868  -95.8175  0.7031E-10
2012   8  16   0  39.6368  -95.7675  0.1904E-08
2012   8  16   0  39.6868  -95.7675  0.7233E-08
2012   8  16   0  39.7368  -95.7675  0.1149E-07
2012   8  16   0  39.7868  -95.7675  0.1747E-07
2012   8  16   0  39.8368  -95.7675  0.2365E-07
2012   8  16   0  39.8868  -95.7675  0.2480E-07
2012   8  16   0  39.9368  -95.7675  0.2444E-07
2012   8  16   0  39.9868  -95.7675  0.2510E-07
2012   8  16   0  40.0368  -95.7675  0.2721E-07
2012   8  16   0  40.0868  -95.7675  0.2788E-07
2012   8  16   0  40.1368  -95.7675  0.3446E-07
2012   8  16   0  40.1868  -95.7675  0.4703E-07
2012   8  16   0  40.2368  -95.7675  0.6608E-07
2012   8  16   0  40.2868  -95.7675  0.7584E-07
2012   8  16   0  40.3368  -95.7675  0.8003E-07
2012   8  16   0  40.3868  -95.7675  0.7758E-07
2012   8  16   0  40.4368  -95.7675  0.7024E-07
2012   8  16   0  40.4868  -95.7675  0.6121E-07
2012   8  16   0  40.5368  -95.7675  0.5852E-07
2012   8  16   0  40.5868  -95.7675  0.5415E-07
2012   8  16   0  40.6368  -95.7675  0.4383E-07
2012   8  16   0  40.6868  -95.7675  0.3547E-07
2012   8  16   0  40.7368  -95.7675  0.2740E-07
2012   8  16   0  40.7868  -95.7675  0.2076E-07
2012   8  16   0  40.8368  -95.7675  0.1758E-07
2012   8  16   0  40.8868  -95.7675  0.1439E-07
2012   8  16   0  40.9368  -95.7675  0.9823E-08
2012   8  16   0  40.9868  -95.7675  0.6947E-08
2012   8  16   0  41.0368  -95.7675  0.5168E-08
2012   8  16   0  41.0868  -95.7675  0.4357E-08
2012   8  16   0  41.1368  -95.7675  0.3605E-08
2012   8  16   0  41.1868  -95.7675  0.3392E-08
2012   8  16   0  41.2368  -95.7675  0.2551E-08
2012   8  16   0  41.2868  -95.7675  0.2073E-08
2012   8  16   0  41.3368  -95.7675  0.1537E-08
2012   8  16   0  41.3868  -95.7675  0.1152E-08
2012   8  16   0  41.4368  -95.7675  0.1153E-08
2012   8  16   0  41.4868  -95.7675  0.1138E-08
2012   8  16   0  41.5368  -95.7675  0.1076E-08
2012   8  16   0  41.5868  -95.7675  0.1405E-08
2012   8  16   0  41.6368  -95.7675  0.1952E-08
2012   8  16   0  41.6868  -95.7675  0.1535E-08
2012   8  16   0  41.7368  -95.7675  0.9332E-09
2012   8  16   0  41.7868  -95.7675  0.4135E-09
2012   8  16   0  41.8368  -95.7675  0.2416E-09
2012   8  16   0  41.8868  -95.7675  0.1282E-09
2012   8  16   0  41.9368  -95.7675  0.2169E-09
2012   8  16   0  41.9868  -95.7675  0.2612E-09
2012   8  16   0  42.0368  -95.7675  0.2997E-09
2012   8  16   0  42.0868  -95.7675  0.3424E-09
2012   8  16   0  42.1368  -95.7675  0.3035E-09
2012   8  16   0  42.1868  -95.7675  0.3392E-09
2012   8  16   0  42.2368  -95.7675  0.3471E-09
2012   8  16   0  42.2868  -95.7675  0.2131E-09
2012   8  16   0  42.3368  -95.7675  0.3002E-09
2012   8  16   0  42.3868  -95.7675  0.3011E-09
2012   8  16   0  42.4368  -95.7675  0.2237E-09
2012   8  16   0  42.4868  -95.7675  0.1910E-09
2012   8  16   0  42.5368  -95.7675  0.1898E-09
2012   8  16   0  42.5868  -95.7675  0.1138E-09
2012   8  16   0  42.7868  -95.7675  0.3517E-10
2012   8  16   0  42.8368  -95.7675  0.3518E-10
2012   8  16   0  39.6868  -95.7175  0.1502E-08
2012   8  16   0  39.7368  -95.7175  0.6104E-08
2012   8  16   0  39.7868  -95.7175  0.1061E-07
2012   8  16   0  39.8368  -95.7175  0.1468E-07
2012   8  16   0  39.8868  -95.7175  0.1990E-07
2012   8  16   0  39.9368  -95.7175  0.2055E-07
2012   8  16   0  39.9868  -95.7175  0.2006E-07
2012   8  16   0  40.0368  -95.7175  0.2212E-07
2012   8  16   0  40.0868  -95.7175  0.2555E-07
2012   8  16   0  40.1368  -95.7175  0.2719E-07
2012   8  16   0  40.1868  -95.7175  0.2779E-07
2012   8  16   0  40.2368  -95.7175  0.2749E-07
2012   8  16   0  40.2868  -95.7175  0.4135E-07
2012   8  16   0  40.3368  -95.7175  0.5699E-07
2012   8  16   0  40.3868  -95.7175  0.6181E-07
2012   8  16   0  40.4368  -95.7175  0.6205E-07
2012   8  16   0  40.4868  -95.7175  0.6349E-07
2012   8  16   0  40.5368  -95.7175  0.5905E-07
2012   8  16   0  40.5868  -95.7175  0.5502E-07
2012   8  16   0  40.6368  -95.7175  0.5292E-07
2012   8  16   0  40.6868  -95.7175  0.4869E-07
2012   8  16   0  40.7368  -95.7175  0.4428E-07
2012   8  16   0  40.7868  -95.7175  0.3634E-07
2012   8  16   0  40.8368  -95.7175  0.2987E-07
2012   8  16   0  40.8868  -95.7175  0.2338E-07
2012   8  16   0  40.9368  -95.7175  0.1953E-07
2012   8  16   0  40.9868  -95.7175  0.1381E-07
2012   8  16   0  41.0368  -95.7175  0.1068E-07
2012   8  16   0  41.0868  -95.7175  0.7591E-08
2012   8  16   0  41.1368  -95.7175  0.6522E-08
2012   8  16   0  41.1868  -95.7175  0.4146E-08
2012   8  16   0  41.2368  -95.7175  0.3437E-08
2012   8  16   0  41.2868  -95.7175  0.3261E-08
2012   8  16   0  41.3368  -95.7175  0.2906E-08
2012   8  16   0  41.3868  -95.7175  0.2765E-08
2012   8  16   0  41.4368  -95.7175  0.1964E-08
2012   8  16   0  41.4868  -95.7175  0.1914E-08
2012   8  16   0  41.5368  -95.7175  0.1648E-08
2012   8  16   0  41.5868  -95.7175  0.1223E-08
2012   8  16   0  41.6368  -95.7175  0.1030E-08
2012   8  16   0  41.6868  -95.7175  0.1171E-08
2012   8  16   0  41.7368  -95.7175  0.1379E-08
2012   8  16   0  41.7868  -95.7175  0.1628E-08
2012   8  16   0  41.8368  -95.7175  0.6215E-09
2012   8  16   0  41.8868  -95.7175  0.3412E-09
2012   8  16   0  41.9368  -95.7175  0.2465E-09
2012   8  16   0  41.9868  -95.7175  0.1586E-09
2012   8  16   0  42.0368  -95.7175  0.1723E-09
